crossrec_rate,rate_1200,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_1000,results_600,results_200,results_100,results_40,results_20
10,11,11,11,11,11,11,11,0,0,0,0,0,0
16,18,18,18,18,12,18,18,0,0,0,0,0,0
7,13,11,4,11,13,11,13,0,0,0,0,0,0
19,13,10,11,11,11,10,11,0,0,0,0,0,0
12,18,18,18,18,18,18,18,0,0,0,0,0,0
13,13,5,13,5,9,13,13,0,0,0,0,0,0
16,19,19,19,19,19,19,19,0,0,0,0,0,0
3,4,0,4,4,4,2,2,0,0,0,0,0,0
12,17,5,17,11,5,5,17,0,0,0,0,0,0
10,3,3,14,14,14,3,3,0,0,1,1,1,0
18,14,14,14,14,14,14,14,0,0,0,0,0,0
5,8,8,16,8,8,16,16,1,1,0,0,1,0
9,17,17,17,17,17,14,17,0,0,0,0,0,0
12,9,16,7,7,9,7,9,0,0,0,0,0,1
16,13,13,13,8,13,13,13,0,0,0,0,0,0
10,12,12,12,12,12,12,17,1,0,0,0,0,0
15,19,17,19,17,19,19,18,0,0,0,0,0,0
5,3,12,3,3,3,11,11,1,1,0,0,0,1
9,6,6,9,12,9,9,9,1,1,1,1,1,0
16,7,7,15,7,7,7,17,1,0,0,0,1,0
13,14,14,14,10,10,14,14,0,0,0,0,0,0
10,6,6,6,6,6,6,6,0,0,0,0,0,0
1,3,3,3,3,3,2,2,0,0,0,0,0,0
2,17,17,17,17,17,6,17,0,0,0,0,0,0
10,12,12,12,12,5,12,12,0,0,0,0,0,0
12,5,5,5,12,12,12,5,0,1,1,1,0,0
18,15,15,15,19,12,15,15,0,0,0,1,0,0
12,10,4,10,10,10,10,10,0,0,0,0,0,0
14,8,8,8,7,6,7,8,0,0,0,0,0,0
16,11,16,11,8,8,16,11,0,1,0,0,0,1
16,11,11,11,11,11,12,11,0,1,0,0,0,0
16,13,16,13,13,16,7,16,1,0,1,0,0,1
7,2,9,2,9,2,2,2,0,0,0,1,0,1
10,17,8,17,8,8,8,8,0,0,0,0,0,0
15,8,2,8,2,2,8,8,0,0,0,0,0,0
12,2,2,2,4,9,8,8,1,1,1,1,0,0
17,15,12,12,19,19,13,19,1,0,1,1,0,0
7,12,15,12,15,5,5,5,0,0,0,1,0,1
13,4,15,5,5,17,17,5,1,1,1,1,1,1
11,15,6,6,17,15,7,6,0,0,0,1,0,0
9,5,5,5,5,5,5,5,0,0,0,0,0,0
2,14,4,4,14,14,4,4,0,0,0,0,0,0
14,10,12,12,12,12,10,14,1,0,1,1,1,1
12,12,6,6,12,12,12,12,0,0,0,0,0,0
12,10,15,10,10,10,15,10,0,1,0,0,0,1
7,13,13,11,12,12,13,12,0,0,0,0,0,0
14,8,8,8,3,17,8,17,1,0,1,0,0,0
18,6,6,6,6,6,6,6,0,0,0,0,0,0
10,11,11,11,8,8,10,8,0,0,0,0,0,0
15,12,12,12,12,12,12,12,0,0,0,0,0,0
11,4,4,17,4,4,4,4,0,0,0,0,1,0
