crossrec_rate,rate_1200,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_1000,results_600,results_200,results_100,results_40,results_20
10,12,9,12,6,12,12,9,0,0,0,0,0,0
12,9,9,15,15,15,10,7,0,1,1,1,1,0
1,1,1,2,1,0,1,1,0,0,0,0,1,0
5,15,17,17,8,9,10,15,0,0,0,0,1,1
4,0,15,0,0,0,0,15,1,0,0,0,0,1
1,1,1,1,1,1,1,5,1,0,0,0,0,0
9,5,19,13,19,5,3,13,1,0,0,1,1,1
2,9,7,7,7,7,7,7,0,0,0,0,0,0
6,3,3,2,2,10,3,2,0,0,1,0,0,0
1,1,1,0,0,1,1,1,0,0,0,0,0,0
1,1,12,0,1,1,1,1,0,0,0,0,0,1
5,1,1,1,1,1,1,1,0,0,0,0,0,0
17,18,18,18,18,18,18,18,0,0,0,0,0,0
7,1,1,4,1,1,1,1,0,0,0,0,1,0
2,3,3,3,3,3,3,3,0,0,0,0,0,0
6,5,8,19,8,9,5,8,1,0,1,1,1,1
2,2,3,3,3,3,3,3,1,1,1,1,1,1
6,4,13,11,4,4,4,11,1,0,0,0,1,1
8,15,13,13,13,15,13,15,0,0,0,0,0,0
4,3,3,3,3,3,3,3,0,0,0,0,0,0
3,1,1,7,7,7,1,1,0,0,1,1,1,0
8,11,6,9,11,18,18,6,0,1,1,0,0,0
3,4,4,4,4,4,1,4,0,0,0,0,0,0
6,13,11,10,13,13,13,13,0,0,0,0,0,0
6,3,10,12,4,10,10,10,1,1,1,1,1,1
12,5,16,15,5,16,16,16,1,1,1,0,1,1
4,3,3,3,6,3,6,3,0,1,0,1,0,0
1,1,1,17,0,1,1,1,0,0,0,0,1,0
1,1,15,15,1,1,1,15,1,0,0,0,1,1
0,0,1,0,0,1,0,12,1,0,1,0,0,1
2,1,1,1,1,1,1,1,0,0,0,0,0,0
15,12,4,12,12,12,14,4,0,1,0,0,0,0
4,13,6,3,13,6,6,6,0,0,0,0,0,0
10,11,11,11,11,11,11,9,0,0,0,0,0,0
1,1,1,1,1,1,1,3,1,0,0,0,0,0
19,12,16,16,15,8,6,16,1,0,0,1,1,1
14,5,5,5,5,5,5,5,0,0,0,0,0,0
1,1,1,1,1,1,5,1,0,1,0,0,0,0
1,1,2,4,0,1,0,4,1,0,0,0,1,1
1,1,1,1,2,1,0,1,0,0,0,1,0,0
10,3,13,3,3,3,3,7,1,0,0,0,0,1
7,16,13,2,2,5,10,5,0,0,0,0,0,0
6,2,11,3,11,3,3,1,0,1,1,1,1,1
2,1,1,1,3,2,2,3,1,1,1,1,0,0
5,3,3,7,7,11,3,3,0,0,1,1,1,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
11,2,2,2,10,10,10,15,1,1,1,1,0,0
5,1,0,4,16,3,4,3,1,1,1,1,1,0
2,2,1,2,2,2,2,2,0,0,0,0,0,0
9,14,8,14,8,8,16,11,0,1,0,0,0,0
2,2,1,1,1,1,1,1,0,0,0,0,0,0
13,18,16,15,16,15,18,15,0,0,0,0,0,0
3,1,1,1,11,11,1,11,1,0,1,1,0,0
5,4,4,4,4,4,4,18,1,0,0,0,0,0
4,11,7,7,7,7,7,11,0,0,0,0,0,0
5,7,0,8,0,8,0,0,0,0,1,0,1,0
17,7,7,7,7,7,7,7,0,0,0,0,0,0
4,7,7,5,2,7,5,7,0,0,0,0,0,0
2,1,6,1,1,6,1,1,0,0,1,0,0,1
19,10,10,10,10,10,10,10,0,0,0,0,0,0
0,1,1,1,0,1,1,1,0,0,0,0,0,0
3,4,2,4,4,2,4,4,0,0,0,0,0,0
13,11,11,11,11,11,16,16,1,1,0,0,0,0
3,0,12,6,6,6,10,10,1,1,1,1,1,1
3,7,13,2,7,7,13,13,1,1,0,0,0,1
10,7,7,1,8,1,1,1,0,0,0,1,0,0
3,7,2,5,2,2,8,8,1,1,0,0,0,0
15,13,3,13,4,19,14,6,0,1,1,0,0,0
14,19,19,4,18,4,18,4,0,0,0,0,0,0
8,7,9,7,7,7,9,9,1,1,0,0,0,1
10,19,4,4,5,19,4,4,0,0,0,0,0,0
3,10,10,0,9,10,9,10,0,0,0,0,0,0
7,10,17,13,3,13,3,17,1,0,1,0,1,1
2,2,1,1,1,1,1,1,0,0,0,0,0,0
8,13,1,14,14,13,13,14,1,0,0,1,1,0
0,0,0,0,0,0,0,3,1,0,0,0,0,0
0,8,8,8,0,8,8,8,0,0,0,0,0,0
3,4,14,3,3,4,1,3,0,0,0,0,0,1
2,1,1,1,5,1,1,2,1,0,0,1,0,0
3,14,14,14,14,14,14,3,0,0,0,0,0,0
11,4,8,8,8,7,5,15,1,1,1,1,1,1
15,18,18,18,7,18,18,18,0,0,0,0,0,0
0,1,3,0,0,3,0,1,0,0,1,0,0,1
0,1,1,1,1,1,1,1,0,0,0,0,0,0
11,1,1,16,6,16,8,16,1,1,1,1,1,0
10,12,11,12,2,11,11,12,0,0,0,0,0,0
1,1,1,1,1,1,1,7,1,0,0,0,0,0
4,7,2,7,10,7,6,2,0,0,0,1,0,0
2,1,1,3,1,1,2,2,1,1,0,0,1,0
1,5,1,1,1,1,1,1,0,0,0,0,0,0
13,6,16,12,15,9,9,15,1,1,1,1,1,1
6,4,16,16,1,7,7,16,1,1,1,0,1,1
2,3,1,3,1,2,1,2,0,0,0,0,0,0
2,8,8,8,8,8,1,8,0,0,0,0,0,0
4,4,8,3,8,5,8,8,1,1,1,1,0,1
1,1,1,0,0,1,0,17,1,0,0,0,0,0
4,10,7,18,18,18,18,12,1,1,1,1,1,0
13,0,9,19,19,19,19,12,1,1,1,1,1,1
1,0,1,0,0,1,0,1,1,0,1,0,0,1
16,18,18,18,18,3,18,18,0,0,0,0,0,0
2,7,9,2,9,9,2,2,0,0,1,1,0,1
8,11,11,11,10,11,11,10,0,0,0,0,0,0
5,2,2,2,2,2,19,2,0,1,0,0,0,0
2,6,1,2,1,1,1,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12,12,9,12,10,12,12,0,0,0,0,0,0
5,1,10,11,1,1,10,10,1,1,0,0,1,1
1,4,4,4,15,4,15,4,0,1,0,1,0,0
16,8,3,3,8,3,9,8,0,1,0,0,0,0
4,6,6,5,5,5,5,6,0,0,0,0,0,0
1,1,1,1,1,1,1,11,1,0,0,0,0,0
17,4,7,4,7,7,10,10,1,1,1,1,0,1
9,3,1,13,1,3,2,3,0,0,0,0,1,0
12,11,10,7,7,7,10,10,0,0,0,0,0,0
5,8,8,10,8,8,8,8,0,0,0,0,1,0
13,7,7,7,7,14,7,7,0,0,1,0,0,0
8,7,1,12,7,16,12,12,1,1,1,0,1,0
10,15,13,15,15,15,13,15,0,0,0,0,0,0
1,1,1,1,4,1,1,1,0,0,0,1,0,0
12,6,16,16,18,16,6,10,1,0,1,1,1,1
3,5,1,5,5,5,5,5,0,0,0,0,0,0
5,2,2,2,2,2,2,3,1,0,0,0,0,0
2,0,0,1,0,0,0,0,0,0,0,0,1,0
8,16,17,13,16,16,17,16,0,1,0,0,0,1
12,15,6,6,6,15,6,6,0,0,0,0,0,0
3,9,6,7,6,9,9,6,0,0,0,0,0,0
10,6,6,6,6,6,6,6,0,0,0,0,0,0
0,0,0,0,5,0,0,14,1,0,0,1,0,0
9,5,17,17,18,17,5,5,0,0,1,1,1,1
17,11,11,11,11,11,11,11,0,0,0,0,0,0
3,4,1,19,19,3,1,19,1,0,0,1,1,0
1,1,2,0,0,0,0,1,0,0,0,0,0,1
