crossrec_rate,rate_1200,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_1000,results_600,results_200,results_100,results_40,results_20
1,1,1,12,12,12,1,1,0,0,1,1,1,0
1,1,1,1,1,1,1,5,1,0,0,0,0,0
6,7,7,2,7,2,14,2,0,1,0,0,0,0
5,0,15,15,15,15,15,0,0,1,1,1,1,1
12,4,4,4,4,4,9,4,0,1,0,0,0,0
2,9,2,2,2,9,9,9,0,0,0,0,0,0
1,1,1,2,2,1,1,1,0,0,0,1,1,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
12,14,14,14,14,14,14,14,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
2,4,4,4,2,2,13,2,0,1,0,0,0,0
1,7,3,3,3,1,0,3,0,0,0,0,0,0
2,6,6,6,6,6,2,1,0,0,0,0,0,0
1,1,1,1,9,1,1,1,0,0,0,1,0,0
2,2,2,2,4,4,3,3,1,1,1,1,0,0
1,1,1,1,12,1,1,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
3,9,9,1,1,9,1,9,0,0,0,0,0,0
1,12,12,1,12,12,12,1,0,0,0,0,0,0
2,6,6,6,2,6,6,6,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
1,3,1,3,3,1,3,3,0,0,0,0,0,0
15,10,3,10,18,3,3,18,1,0,0,1,0,0
19,9,9,9,9,13,13,9,0,1,1,0,0,0
1,1,15,15,15,15,1,1,0,0,1,1,1,1
1,1,4,4,4,4,1,1,0,0,1,1,1,1
14,9,9,7,7,7,1,1,0,0,0,0,0,0
16,18,11,17,2,2,2,18,0,0,0,0,0,0
2,6,6,6,6,6,6,6,0,0,0,0,0,0
2,4,2,2,4,1,4,2,0,0,0,0,0,0
1,16,1,16,16,1,16,16,0,0,0,0,0,0
1,1,1,1,2,1,1,1,0,0,0,1,0,0
4,12,10,10,12,13,10,13,1,0,1,0,0,0
1,7,7,7,7,1,7,7,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
4,5,2,9,9,9,2,9,1,0,1,1,1,0
1,1,5,5,5,1,1,1,0,0,0,1,1,1
3,2,2,2,3,2,2,2,0,0,0,1,0,0
1,1,1,1,10,1,1,1,0,0,0,1,0,0
1,1,1,1,10,1,1,1,0,0,0,1,0,0
1,1,1,2,2,1,1,1,0,0,0,1,1,0
11,7,18,9,9,18,8,8,1,1,1,1,1,1
17,19,10,12,12,14,12,12,0,0,0,0,0,0
1,1,1,9,9,9,1,1,0,0,1,1,1,0
5,12,13,4,16,6,6,3,0,0,0,1,0,1
2,15,15,15,15,15,15,15,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
15,10,1,1,1,10,9,14,1,0,0,0,0,0
13,5,5,5,5,5,5,5,0,0,0,0,0,0
0,1,1,4,1,1,1,1,0,0,0,0,1,0
1,1,1,1,16,1,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,9,1,1,1,0,0,0,1,0,0
3,11,4,3,11,4,3,3,0,0,0,0,0,0
15,9,9,18,9,8,8,8,0,0,0,0,1,0
2,10,2,2,9,2,10,10,0,0,0,0,0,0
1,0,1,1,2,2,1,1,1,1,1,1,1,1
10,16,5,5,16,5,16,5,0,0,0,0,0,0
1,1,1,1,3,1,1,2,1,0,0,1,0,0
1,1,1,1,9,1,1,1,0,0,0,1,0,0
2,5,17,5,5,17,5,5,0,0,1,0,0,1
1,1,1,14,14,1,14,1,0,1,0,1,1,0
9,6,7,2,11,8,6,6,0,0,1,1,0,1
14,18,7,8,2,7,7,2,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,5,1,1,1,0,0,0,1,0,0
11,5,5,4,12,12,5,19,1,0,1,1,0,0
3,6,6,6,6,6,6,10,1,0,0,0,0,0
9,6,6,6,6,6,6,6,0,0,0,0,0,0
1,1,1,1,4,1,1,1,0,0,0,1,0,0
1,1,7,1,7,7,1,1,0,0,1,1,0,1
1,2,2,2,2,2,2,1,0,0,0,0,0,0
10,5,17,5,16,16,16,5,0,1,1,1,0,1
13,8,7,17,13,16,11,8,0,1,1,1,1,0
2,8,2,2,5,2,8,3,0,0,0,0,0,0
1,1,1,1,3,3,1,1,0,0,1,1,0,0
13,10,8,10,17,7,8,7,0,0,0,1,0,0
4,18,18,18,18,18,18,18,0,0,0,0,0,0
1,2,2,2,2,1,2,2,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
8,6,5,0,16,6,5,3,0,0,0,1,0,0
1,1,1,1,10,1,1,1,0,0,0,1,0,0
7,11,11,11,9,15,11,11,0,0,1,0,0,0
1,1,1,1,3,1,1,1,0,0,0,1,0,0
1,1,1,1,12,1,1,1,0,0,0,1,0,0
5,7,7,7,2,7,7,7,0,0,0,0,0,0
1,1,1,1,13,13,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
2,1,5,5,2,5,1,1,0,0,1,1,1,1
10,12,12,12,7,5,7,5,0,0,0,0,0,0
2,3,7,3,3,7,8,3,0,1,1,0,0,1
1,1,2,1,2,2,1,1,0,0,1,1,0,1
1,1,1,1,1,1,2,2,1,1,0,0,0,0
3,7,7,7,7,7,7,7,0,0,0,0,0,0
6,5,3,9,5,3,5,3,0,0,0,0,1,0
7,5,9,5,5,5,1,9,1,0,0,0,0,1
2,1,18,18,2,18,1,1,0,0,1,1,1,1
5,16,17,17,17,17,17,13,0,1,1,1,1,1
2,0,2,2,0,4,2,2,1,1,1,0,1,1
6,14,14,4,2,4,14,14,0,0,0,0,0,0
11,14,3,4,10,2,3,19,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6,5,16,17,2,19,17,1,1,0,1,1,0
1,1,1,1,11,1,1,1,0,0,0,1,0,0
1,16,1,16,1,1,2,2,0,0,0,0,0,0
7,1,16,16,16,4,1,1,0,0,1,1,1,1
9,16,15,18,4,4,8,18,1,0,0,0,1,0
1,5,5,1,5,5,1,1,0,0,0,0,0,0
1,2,2,1,2,2,2,1,0,0,0,0,0,0
4,6,6,6,10,6,2,12,1,0,0,1,0,0
1,1,1,1,5,1,1,1,0,0,0,1,0,0
4,3,3,6,14,15,14,3,0,1,1,1,1,0
1,7,7,7,7,7,7,7,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
4,12,17,9,9,12,9,12,0,0,0,0,0,1
4,5,12,5,4,6,12,12,1,1,1,0,0,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,5,5,1,1,0,0,1,1,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,2,1,2,1,0,1,0,1,0,0
4,17,17,6,6,13,15,13,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
5,16,7,9,7,16,16,17,1,0,0,0,0,0
10,1,9,17,9,9,9,9,1,1,1,1,1,1
6,4,4,4,4,4,4,19,1,0,0,0,0,0
1,1,1,12,12,1,1,1,0,0,0,1,1,0
4,7,9,7,3,9,7,5,0,0,1,0,0,1
8,2,3,2,2,3,2,2,0,0,1,0,0,1
1,1,5,5,5,1,1,1,0,0,0,1,1,1
0,2,2,2,2,2,2,2,0,0,0,0,0,0
1,3,1,3,3,1,3,3,0,0,0,0,0,0
11,7,7,9,9,1,15,12,1,1,0,1,1,0
3,2,18,4,4,2,4,8,1,1,0,1,1,1
8,19,0,19,1,16,1,0,0,0,0,0,0,0
1,9,9,9,9,1,9,9,0,0,0,0,0,0
2,10,2,2,19,10,2,10,0,0,0,1,0,0
5,12,19,12,19,12,19,19,1,1,0,1,0,1
3,3,1,1,3,1,1,1,0,0,0,0,0,0
12,3,3,3,3,3,3,3,0,0,0,0,0,0
2,1,1,1,1,1,14,1,0,1,0,0,0,0
0,18,0,18,18,0,18,0,0,0,0,0,0,0
1,4,4,4,1,4,4,5,1,0,0,0,0,0
2,7,7,7,7,7,10,7,0,1,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0
5,1,18,18,15,18,1,18,1,0,1,1,1,1
2,1,3,2,1,2,2,3,1,1,1,0,1,1
0,1,0,1,1,0,1,0,0,0,0,0,0,0
3,6,1,1,3,1,6,6,0,0,0,0,0,0
10,3,3,19,3,2,2,2,0,0,0,0,1,0
2,18,18,18,2,18,18,18,0,0,0,0,0,0
14,12,12,12,12,12,12,12,0,0,0,0,0,0
4,13,13,13,13,13,13,13,0,0,0,0,0,0
2,2,2,2,4,1,1,1,0,0,0,1,0,0
1,2,1,1,2,1,1,1,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
