crossrec_rate,rate_1200,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_1000,results_600,results_200,results_100,results_40,results_20
16,4,4,4,4,4,18,4,0,1,0,0,0,0
11,9,9,3,14,7,3,14,1,0,0,1,0,0
19,13,13,13,13,13,13,13,0,0,0,0,0,0
6,17,17,18,17,11,18,17,0,1,0,0,1,0
6,5,8,6,5,5,6,5,0,1,0,0,1,1
14,18,2,17,18,17,18,2,0,0,0,0,0,0
5,13,13,3,16,2,13,3,0,0,0,1,0,0
7,18,18,11,11,3,18,18,0,0,0,0,0,0
2,5,4,1,4,5,1,1,0,0,0,0,0,0
5,15,13,8,4,8,8,2,0,0,0,0,0,0
9,17,10,17,15,13,2,2,0,0,0,0,0,0
3,18,18,19,3,0,4,18,0,0,0,0,1,0
7,4,6,4,4,6,4,4,0,0,1,0,0,1
14,12,14,12,14,12,13,9,0,1,0,1,0,1
3,12,14,4,4,14,4,4,0,0,1,0,0,1
3,11,11,11,11,4,4,11,0,0,0,0,0,0
11,3,6,3,8,12,3,3,0,0,1,1,0,1
16,8,8,4,8,8,8,4,0,0,0,0,0,0
16,12,12,19,12,12,12,19,1,0,0,0,1,0
11,7,0,0,6,7,0,7,0,0,0,0,0,0
11,13,13,9,13,13,13,12,0,0,0,0,0,0
14,9,6,17,16,17,6,6,0,0,1,1,1,0
8,10,10,10,10,14,14,10,0,1,1,0,0,0
17,7,19,19,19,19,19,7,0,1,1,1,1,1
2,1,1,1,1,1,1,1,0,0,0,0,0,0
19,18,18,18,18,18,18,18,0,0,0,0,0,0
16,10,10,12,12,10,10,12,1,0,0,1,1,0
16,8,9,8,7,9,10,11,1,1,1,0,0,1
10,11,5,11,7,8,5,11,0,0,0,0,0,0
15,13,5,5,5,4,13,13,0,0,0,0,0,0
5,4,4,4,9,4,4,4,0,0,0,1,0,0
9,2,13,17,17,2,5,2,0,1,0,1,1,1
10,16,13,16,7,11,16,18,1,0,0,0,0,0
8,2,17,17,2,17,2,2,0,0,1,0,1,1
3,17,17,17,17,12,17,17,0,0,0,0,0,0
19,7,7,7,7,7,7,7,0,0,0,0,0,0
7,7,7,8,11,11,11,7,0,1,1,1,1,0
18,17,17,17,17,17,17,17,0,0,0,0,0,0
19,17,17,17,17,17,17,17,0,0,0,0,0,0
0,4,4,2,4,18,4,4,0,0,1,0,0,0
7,5,5,7,5,5,5,5,0,0,0,0,1,0
7,1,6,7,6,12,7,1,0,1,1,1,1,1
4,1,1,1,1,0,1,1,0,0,0,0,0,0
17,7,18,18,18,7,11,18,1,1,0,1,1,1
11,6,17,17,17,2,8,17,1,1,0,1,1,1
0,7,7,5,7,7,7,5,0,0,0,0,0,0
1,7,0,3,7,3,3,0,0,0,0,0,0,0
16,11,11,11,13,13,13,11,0,1,1,1,0,0
17,15,15,15,15,10,10,15,0,0,0,0,0,0
13,14,14,16,16,5,5,17,1,0,0,1,1,0
3,11,11,14,11,11,11,11,0,0,0,0,1,0
5,5,5,5,10,5,8,5,0,1,0,1,0,0
2,8,8,7,8,8,8,6,0,0,0,0,0,0
3,1,3,1,3,1,1,1,0,0,0,1,0,1
5,5,3,3,5,3,3,3,0,0,0,0,0,0
8,5,5,5,4,5,14,4,0,1,0,0,0,0
5,2,2,6,6,16,6,19,1,1,1,1,1,0
10,6,6,9,10,5,6,10,1,0,0,1,1,0
5,1,1,1,1,7,7,1,0,1,1,0,0,0
8,14,14,8,16,14,10,9,0,0,0,1,0,0
11,18,18,18,14,15,12,18,0,0,0,0,0,0
16,18,11,3,11,11,3,18,0,0,0,0,0,0
12,19,16,9,15,16,10,16,0,0,0,0,0,0
15,11,13,11,7,7,11,7,0,0,0,0,0,1
8,7,7,8,6,8,8,13,1,1,1,0,1,0
5,15,2,4,4,2,4,4,0,0,0,0,0,0
17,11,4,4,4,4,7,4,0,0,0,0,0,0
5,14,14,14,14,14,14,14,0,0,0,0,0,0
8,2,2,4,17,2,2,6,1,0,0,1,1,0
10,10,10,10,10,10,10,10,0,0,0,0,0,0
15,12,19,12,12,12,12,12,0,0,0,0,0,1
5,5,5,4,5,6,5,5,0,0,1,0,0,0
6,18,18,19,6,2,2,12,0,0,0,0,1,0
8,9,9,2,11,15,2,9,0,0,1,1,0,0
2,4,4,4,4,7,4,4,0,0,1,0,0,0
14,4,7,16,7,16,7,7,1,1,1,1,1,1
6,14,4,14,14,12,2,4,0,0,0,0,0,0
9,8,10,9,10,4,9,9,1,1,0,1,1,1
9,8,9,14,7,9,7,9,1,0,1,0,1,1
4,12,12,7,4,7,7,12,0,0,0,0,0,0
10,6,6,19,6,15,7,19,1,1,1,0,1,0
7,11,4,10,11,1,11,3,0,0,0,0,0,0
17,14,14,14,16,16,14,14,0,0,1,1,0,0
13,14,12,14,12,14,12,15,1,0,0,0,0,0
7,7,7,6,1,0,14,6,0,1,0,0,0,0
12,14,14,18,10,7,16,14,0,1,0,0,1,0
13,8,8,8,15,15,15,15,1,1,1,1,0,0
4,10,4,10,4,4,5,10,0,0,0,0,0,0
2,18,18,0,18,7,18,18,0,0,0,0,0,0
6,6,3,6,6,10,3,3,0,0,1,0,0,0
1,7,7,6,7,5,7,7,0,0,0,0,0,0
13,6,9,9,9,18,10,9,1,1,1,1,1,1
8,5,9,5,2,0,5,2,0,0,0,0,0,1
6,12,17,17,12,9,17,12,0,1,0,0,1,1
4,8,10,8,4,3,8,8,0,0,0,0,0,1
2,6,6,6,6,1,6,6,0,0,0,0,0,0
3,12,12,12,12,3,12,12,0,0,0,0,0,0
12,5,16,3,5,3,3,16,1,0,0,0,0,1
7,3,5,7,3,15,5,3,0,1,1,0,1,1
16,10,10,14,10,10,10,10,0,0,0,0,1,0
7,3,3,7,3,3,3,3,0,0,0,0,1,0
15,14,19,19,19,14,14,19,1,0,0,1,1,1
7,15,11,2,8,11,15,15,0,0,0,0,0,0
15,19,19,19,10,10,19,10,0,0,0,0,0,0
4,11,11,11,11,12,11,11,0,0,1,0,0,0
12,15,3,3,3,12,3,3,0,0,0,0,0,0
5,16,16,16,16,16,16,16,0,0,0,0,0,0
5,2,19,5,15,2,15,19,1,1,0,1,1,1
9,16,9,9,9,16,9,9,0,0,0,0,0,0
13,17,15,10,17,10,15,15,0,0,0,0,0,0
16,6,6,9,9,8,8,8,1,1,1,1,1,0
13,6,6,5,5,18,11,6,0,1,1,0,0,0
6,6,13,5,13,5,6,6,0,0,0,1,0,1
18,7,7,7,7,7,7,7,0,0,0,0,0,0
8,3,8,8,3,8,6,8,1,1,1,0,1,1
6,2,2,5,1,2,2,6,1,0,0,0,1,0
0,15,15,15,15,15,15,15,0,0,0,0,0,0
12,6,6,17,6,13,6,17,1,0,1,0,1,0
18,13,13,13,13,13,13,13,0,0,0,0,0,0
1,19,19,19,19,19,0,19,0,0,0,0,0,0
11,16,6,6,16,6,6,6,0,0,0,0,0,0
8,8,14,12,8,12,12,13,1,1,1,0,1,1
19,14,14,14,14,14,15,14,0,1,0,0,0,0
1,8,8,18,8,18,8,8,0,0,1,0,1,0
8,4,5,4,3,5,3,3,0,0,1,0,0,1
13,7,5,18,7,5,7,7,0,0,0,0,1,0
15,7,5,10,14,14,5,5,0,0,1,1,1,0
1,10,10,3,10,10,10,10,0,0,0,0,0,0
11,14,15,7,9,16,14,7,0,0,1,0,0,1
13,9,9,16,9,9,16,16,1,1,0,0,1,0
18,7,7,7,7,7,7,7,0,0,0,0,0,0
14,13,9,13,9,13,16,9,0,1,0,0,0,0
19,12,12,17,12,12,12,12,0,0,0,0,1,0
11,16,16,10,16,14,14,13,0,0,0,0,0,0
5,2,2,11,2,4,2,2,0,0,1,0,1,0
14,3,3,3,16,3,3,3,0,0,0,1,0,0
7,13,7,19,19,0,13,7,0,0,0,1,1,0
6,5,5,5,5,5,5,5,0,0,0,0,0,0
6,16,4,16,6,14,14,6,0,0,0,0,0,0
11,6,6,8,14,6,13,13,1,1,0,1,1,0
7,10,10,2,13,11,10,10,0,0,1,1,0,0
3,6,16,6,16,13,16,16,1,1,1,1,0,1
5,1,11,1,1,11,4,1,0,1,1,0,0,1
14,12,12,12,12,2,12,12,0,0,0,0,0,0
11,19,19,19,19,8,19,19,0,0,0,0,0,0
13,12,19,12,19,19,19,18,1,1,1,1,0,1
8,12,15,7,12,4,7,7,0,0,0,0,0,1
6,10,10,16,10,14,10,13,1,0,1,0,1,0
6,4,2,9,10,10,10,2,0,1,1,1,1,0
10,9,8,9,8,9,8,8,0,0,0,0,0,0
17,9,8,4,9,18,9,4,0,0,1,0,0,0
17,16,16,16,16,16,16,16,0,0,0,0,0,0
16,19,19,5,19,19,19,5,0,0,0,0,0,0
14,11,11,11,11,7,11,11,0,0,0,0,0,0
10,7,7,7,7,7,7,6,0,0,0,0,0,0
18,12,12,12,12,12,12,12,0,0,0,0,0,0
15,16,16,11,16,11,11,17,1,0,0,0,0,0
9,18,11,18,18,10,13,11,0,0,0,0,0,0
7,5,5,3,5,5,5,3,0,0,0,0,0,0
11,9,2,9,2,2,2,2,0,0,0,0,0,0
2,12,12,12,12,8,12,6,0,0,0,0,0,0
3,2,2,2,2,0,2,2,0,0,0,0,0,0
7,10,10,2,10,1,10,4,0,0,0,0,0,0
11,16,15,16,2,16,17,16,0,1,0,0,0,0
19,10,10,10,10,10,10,10,0,0,0,0,0,0
3,2,2,7,2,0,2,8,1,0,0,0,1,0
6,4,0,0,8,0,6,4,0,1,0,1,0,0
8,17,11,4,3,11,17,11,0,0,0,0,0,0
6,11,5,16,5,11,18,11,0,1,0,0,1,0
15,17,17,17,17,17,17,17,0,0,0,0,0,0
14,9,9,10,12,9,7,9,0,0,0,1,1,0
16,8,12,18,16,8,12,16,1,1,0,1,1,1
19,17,18,17,18,18,18,18,1,1,1,1,0,1
8,4,9,10,7,15,13,13,1,1,1,1,1,1
12,9,4,4,4,12,4,4,0,0,1,0,0,0
19,11,11,11,11,11,11,11,0,0,0,0,0,0
7,0,0,6,0,15,7,7,1,1,1,0,1,0
17,15,15,15,15,15,15,15,0,0,0,0,0,0
13,10,10,10,10,13,10,10,0,0,1,0,0,0
6,15,15,6,6,3,15,3,0,0,0,0,0,0
15,14,14,16,15,19,19,19,1,1,1,1,1,0
16,14,14,14,14,14,14,13,0,0,0,0,0,0
10,18,18,8,8,14,10,18,0,0,0,0,0,0
10,10,11,11,11,11,11,10,0,1,1,1,1,1
3,2,2,5,2,2,2,4,1,0,0,0,1,0
