crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
17,19,7,7,7,7,7,7,1,1,1,1,1,1
12,17,11,10,11,11,10,10,1,1,1,1,1,1
14,9,14,14,14,14,14,14,0,0,0,0,0,0
15,7,14,11,14,11,14,16,0,0,0,0,0,0
18,16,15,15,15,15,15,15,1,1,1,1,1,1
18,7,16,16,16,16,16,16,0,0,0,0,0,0
15,11,14,14,14,14,14,14,0,0,0,0,0,0
13,2,8,8,3,8,8,2,0,0,0,0,0,0
9,6,19,6,19,6,9,6,0,0,0,0,0,0
3,6,6,0,6,5,6,6,0,1,0,1,0,0
3,12,12,6,12,15,12,12,0,1,0,0,0,0
12,17,3,14,4,4,12,11,1,1,1,1,1,1
12,11,19,19,19,19,19,19,0,0,0,0,0,0
16,9,18,16,18,18,18,18,0,0,0,0,0,0
11,5,13,10,5,5,13,15,0,0,0,0,0,0
14,11,11,12,12,12,12,12,0,0,0,0,0,0
10,19,19,19,19,19,19,5,0,0,0,0,0,1
13,4,4,17,4,4,4,4,0,0,0,0,0,0
17,11,7,1,11,1,1,11,1,1,0,1,1,0
18,13,17,17,17,17,10,17,0,0,0,0,1,0
11,15,15,15,15,15,15,15,0,0,0,0,0,0
3,15,2,4,15,15,15,15,1,1,0,0,0,0
7,17,17,17,17,12,12,3,0,0,0,1,1,1
17,3,8,8,9,8,8,8,0,0,0,0,0,0
4,7,7,7,7,7,7,7,0,0,0,0,0,0
9,5,5,5,14,5,6,6,0,0,0,0,0,0
8,12,12,15,16,12,5,12,0,0,0,0,1,0
15,14,16,13,9,16,13,13,0,1,1,0,1,1
17,4,12,12,12,12,12,12,0,0,0,0,0,0
3,13,13,13,11,9,9,11,0,0,1,1,1,1
