crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
18,7,7,11,17,7,7,11,0,0,0,0,0,0
5,2,2,8,7,7,4,6,0,0,0,0,0,0
3,4,12,3,3,3,3,3,0,1,1,1,1,1
13,4,9,4,18,3,19,9,0,0,0,1,0,0
6,9,14,14,17,5,4,17,0,0,0,1,1,0
0,3,3,3,3,3,3,3,0,0,0,0,0,0
0,3,3,3,3,3,3,3,0,0,0,0,0,0
1,6,6,6,6,6,1,6,0,0,0,0,1,0
18,19,11,17,12,17,13,15,1,1,1,1,1,1
4,1,6,1,6,10,1,1,0,0,0,0,0,0
3,2,3,3,3,3,3,3,0,0,0,0,0,0
12,5,16,16,16,16,16,16,0,0,0,0,0,0
2,18,7,2,7,2,18,7,1,1,1,1,0,1
4,14,12,2,14,1,1,14,1,1,0,1,1,0
3,16,6,8,6,4,4,16,1,1,1,1,1,0
3,1,1,3,3,1,9,3,0,0,0,0,0,0
13,15,6,7,5,7,6,7,1,1,1,1,1,1
14,12,10,10,10,10,12,10,1,1,1,1,0,1
7,16,5,17,11,16,15,15,1,0,1,0,1,1
12,11,8,8,8,8,8,8,1,1,1,1,1,1
6,12,5,5,5,5,5,5,1,1,1,1,1,1
8,1,1,12,1,12,1,12,0,0,0,0,0,0
1,9,3,3,9,3,3,3,1,1,0,1,1,1
6,7,7,18,13,18,2,8,0,0,0,0,1,0
1,4,4,4,1,4,6,1,0,0,1,0,0,1
17,2,11,1,8,11,11,10,0,1,0,0,0,0
6,15,5,5,5,5,5,1,1,1,1,1,1,1
13,10,18,18,10,3,10,18,0,0,0,1,0,0
10,8,17,6,17,17,17,6,0,1,0,0,0,1
5,7,12,15,7,12,4,12,0,0,0,0,1,0
18,16,13,14,6,14,12,7,1,1,1,1,1,1
13,2,1,6,6,6,10,1,1,0,0,0,0,1
5,9,17,6,2,17,17,6,0,1,1,0,0,1
6,4,5,5,14,5,5,14,0,0,0,0,0,0
15,13,18,12,11,12,18,11,0,1,1,1,0,1
2,16,2,2,2,2,2,2,1,1,1,1,1,1
4,9,3,3,3,3,5,3,1,1,1,1,1,1
5,1,3,4,11,11,2,11,0,0,0,0,0,0
4,3,5,1,18,3,3,3,0,1,0,0,0,0
15,11,14,14,14,14,11,14,0,0,0,0,0,0
10,12,5,5,5,5,5,5,1,1,1,1,1,1
3,6,5,5,5,5,3,5,1,1,1,1,1,1
3,1,1,1,3,1,1,2,0,0,0,0,0,0
3,5,7,3,3,3,7,7,0,1,1,1,0,0
17,13,15,15,11,15,12,12,0,0,1,0,1,1
10,11,11,17,17,11,17,11,0,0,0,0,0,0
18,6,14,14,14,14,12,6,0,0,0,0,0,0
6,4,4,14,4,5,2,16,0,0,0,0,1,0
9,5,17,10,7,10,10,7,0,0,0,0,0,0
11,6,16,14,16,14,15,14,0,0,0,0,0,0
1,13,17,13,17,13,14,17,0,0,0,0,0,0
2,4,0,4,4,4,4,0,1,0,0,0,0,1
1,2,2,2,2,2,2,2,0,0,0,0,0,0
1,7,1,1,1,1,2,1,1,1,1,1,1,1
11,17,3,3,3,3,3,3,1,1,1,1,1,1
8,10,12,11,13,12,13,10,0,0,0,0,0,0
2,6,2,2,2,2,19,2,1,1,1,1,0,1
7,6,13,6,13,6,18,18,0,0,0,0,0,0
3,12,7,14,7,14,14,7,1,0,1,0,0,1
2,4,2,2,4,2,2,0,1,1,0,1,1,1
13,18,10,10,8,18,18,10,1,1,1,0,0,1
1,15,15,15,15,2,2,15,0,0,0,1,1,0
1,3,1,1,1,1,1,1,1,1,1,1,1,1
2,6,2,6,6,6,6,6,1,0,0,0,0,0
3,5,2,2,2,3,3,2,1,1,1,1,1,1
2,7,2,8,8,2,2,8,1,0,0,1,1,0
3,8,9,3,3,9,8,3,0,1,1,0,0,1
2,14,14,14,1,14,14,1,0,0,1,0,0,1
2,8,8,8,0,8,8,0,0,0,1,0,0,1
5,19,16,4,19,19,19,16,1,1,0,0,0,1
8,12,3,3,16,3,12,3,1,1,0,1,0,1
2,10,2,2,10,2,11,10,1,1,0,1,0,0
10,13,5,5,8,5,8,7,1,1,1,1,1,1
1,9,3,9,3,3,9,10,1,0,1,1,0,0
4,9,7,2,7,2,2,2,1,1,1,1,1,1
4,9,14,4,4,4,4,4,0,1,1,1,1,1
4,2,5,9,9,9,9,5,0,0,0,0,0,0
3,11,3,5,5,3,3,5,1,1,1,1,1,1
2,7,7,2,2,7,2,2,0,1,1,0,1,1
4,14,9,9,14,14,14,14,1,1,0,0,0,0
3,19,5,2,1,3,5,2,1,1,1,1,1,1
