crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
7,15,15,9,6,9,15,6,0,1,1,1,0,1
2,3,12,12,12,1,1,12,0,0,0,1,1,0
3,2,17,0,3,17,15,2,0,1,0,0,0,0
15,10,4,4,3,4,4,9,1,1,1,1,1,1
1,3,1,1,3,8,5,1,1,1,0,0,0,1
10,18,11,19,2,11,19,2,1,0,1,1,0,1
2,18,2,18,2,18,1,2,1,0,1,0,1,1
10,14,11,2,2,3,14,7,1,1,1,1,0,1
2,12,12,12,1,12,12,4,0,0,1,0,0,1
9,10,14,10,5,5,5,19,0,0,1,1,1,0
5,16,16,19,16,16,19,15,0,0,0,0,0,1
10,11,16,13,16,16,9,9,0,0,0,0,1,1
15,16,17,18,11,18,18,11,0,0,1,0,0,1
3,1,14,1,3,14,14,2,0,0,0,0,0,0
9,7,18,18,3,3,7,6,0,0,1,1,0,1
1,2,2,2,2,2,2,2,0,0,0,0,0,0
9,5,16,15,16,16,15,15,0,0,0,0,0,0
10,8,6,6,19,19,19,19,1,1,0,0,0,0
5,2,2,6,5,6,2,2,0,0,0,0,0,0
1,7,1,1,2,6,2,2,1,1,1,1,1,1
18,17,19,19,19,19,19,19,0,0,0,0,0,0
6,12,11,12,10,10,7,11,1,0,1,1,1,1
9,14,12,7,7,7,13,13,1,1,1,1,1,1
3,2,2,5,5,5,9,2,0,0,0,0,0,0
4,7,7,9,9,7,9,7,0,0,0,0,0,0
6,3,3,9,9,12,15,18,0,0,0,0,0,0
9,10,11,5,5,11,11,10,0,1,1,0,0,0
13,16,8,17,14,5,8,8,1,0,1,1,1,1
12,17,14,14,13,13,14,14,1,1,1,1,1,1
15,11,19,19,19,19,19,19,0,0,0,0,0,0
14,3,3,3,10,9,9,3,0,0,0,0,0,0
16,12,13,13,13,12,12,13,0,0,0,0,0,0
2,0,11,11,4,4,11,2,0,0,0,0,0,0
11,17,17,6,6,6,6,6,0,1,1,1,1,1
16,5,5,5,5,5,5,5,0,0,0,0,0,0
5,3,12,11,11,11,1,2,0,0,0,0,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1
7,5,12,9,5,12,2,5,0,0,0,0,1,0
2,1,14,7,7,2,17,14,0,0,0,0,0,0
3,1,2,1,2,3,1,2,0,0,0,0,0,0
10,7,6,6,2,2,2,2,1,1,1,1,1,1
4,9,1,1,1,9,9,5,1,1,1,0,0,1
9,10,12,12,16,17,16,16,0,0,0,0,0,0
13,7,9,18,18,9,7,9,0,0,0,0,0,0
19,19,9,9,8,12,8,9,1,1,1,1,1,1
4,7,1,17,4,7,1,5,1,0,1,0,1,1
3,2,1,7,3,7,3,3,1,0,0,0,0,0
5,12,7,12,12,6,16,8,1,0,0,1,0,1
15,11,8,14,8,8,8,8,1,0,1,1,1,1
2,13,13,2,1,1,2,2,0,1,1,1,1,1
2,8,17,15,15,17,15,15,0,0,0,0,0,0
