crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
16,6,4,4,4,4,4,4,1,1,1,1,1,1
11,9,9,3,3,9,9,9,0,1,1,0,0,0
19,19,13,13,13,13,13,13,1,1,1,1,1,1
6,17,17,17,17,18,11,17,0,0,0,0,1,0
6,13,6,8,5,5,6,6,1,1,1,1,1,1
14,17,17,17,2,17,18,18,0,0,1,0,0,0
5,13,12,10,12,9,10,12,1,1,1,1,1,1
7,18,11,18,11,18,18,18,1,0,1,0,0,0
2,4,4,4,4,1,4,4,0,0,0,1,0,0
5,8,8,13,11,11,8,4,0,0,0,0,0,1
9,10,17,17,17,15,17,17,0,0,0,0,0,0
3,18,14,16,14,3,19,16,1,1,1,1,0,1
7,4,6,4,4,4,4,6,0,0,0,0,0,0
14,13,12,12,6,12,6,12,1,1,1,1,1,1
3,14,4,4,2,2,4,4,1,1,1,1,1,1
3,11,11,11,18,11,11,11,0,0,0,0,0,0
11,3,3,3,3,3,3,3,0,0,0,0,0,0
16,9,4,8,8,8,8,8,1,1,1,1,1,1
16,12,12,19,12,19,12,19,0,0,0,0,0,0
11,6,0,7,6,7,7,7,1,0,0,0,0,0
11,13,9,13,9,13,9,13,1,0,1,0,1,0
14,6,19,9,19,6,17,9,0,0,0,0,0,0
8,10,10,10,10,13,10,13,0,0,0,0,0,0
17,7,7,7,7,19,7,7,0,0,0,0,0,0
2,1,1,4,1,1,1,1,0,0,0,0,0,0
19,19,18,18,18,18,18,18,1,1,1,1,1,1
16,7,10,12,12,10,10,10,0,0,0,0,0,0
16,7,8,10,10,8,7,7,0,0,0,0,0,0
10,13,11,11,5,8,11,11,1,1,1,1,1,1
15,13,13,4,5,4,5,4,0,1,1,1,1,1
5,13,13,5,13,9,5,4,0,1,0,1,1,1
9,17,13,13,16,16,5,5,1,1,1,1,1,1
10,16,18,7,16,13,16,18,0,1,0,1,0,0
8,10,2,10,8,11,10,2,1,0,1,0,0,1
3,17,17,17,17,17,17,17,0,0,0,0,0,0
19,19,7,7,7,7,7,7,1,1,1,1,1,1
7,11,14,8,8,14,8,8,0,1,1,0,1,1
18,8,17,17,17,17,17,17,0,0,0,0,0,0
19,19,17,17,17,17,17,17,1,1,1,1,1,1
0,4,4,4,4,4,4,4,0,0,0,0,0,0
7,10,5,5,5,5,5,5,1,1,1,1,1,1
7,1,18,6,7,6,18,1,0,0,0,0,0,0
4,1,1,1,1,1,1,1,0,0,0,0,0,0
17,7,7,7,7,18,15,18,0,0,0,0,0,0
11,8,17,17,17,17,17,17,0,0,0,0,0,0
0,7,5,5,5,7,5,5,1,1,1,0,1,1
1,3,7,7,7,3,7,7,0,0,0,0,0,0
16,19,11,11,11,11,11,11,1,1,1,1,1,1
17,15,10,15,10,10,15,10,1,0,1,1,0,1
13,17,5,16,16,14,14,5,1,1,1,1,1,1
3,11,14,14,14,11,14,14,0,0,0,0,0,0
5,12,10,10,10,3,10,8,1,1,1,1,1,1
2,8,6,6,6,6,6,6,1,1,1,1,1,1
3,1,13,1,13,3,13,1,0,0,0,0,0,0
5,3,8,3,8,5,8,3,0,0,0,0,0,0
8,11,14,5,5,4,5,5,0,1,1,1,1,1
5,2,6,19,19,2,6,5,0,0,0,0,0,0
10,7,18,10,10,10,9,10,0,0,0,0,0,0
5,19,1,1,5,7,3,19,1,1,1,1,1,0
8,10,10,10,9,16,8,14,0,0,1,0,1,0
11,18,18,14,18,18,18,18,0,1,0,0,0,0
16,3,11,11,11,3,11,18,0,0,0,0,0,0
12,9,16,19,19,6,19,16,0,0,0,1,0,0
15,7,11,11,11,7,11,11,0,0,0,0,0,0
8,13,6,8,7,6,8,8,1,1,1,1,1,1
5,15,19,15,19,2,15,4,0,0,0,1,0,1
17,7,4,4,7,4,7,7,1,1,0,1,0,0
5,14,14,14,3,14,14,14,0,0,1,0,0,0
8,17,6,4,6,2,4,17,1,1,1,1,1,0
10,4,10,10,10,10,10,10,0,0,0,0,0,0
15,12,12,9,12,12,12,12,0,1,0,0,0,0
5,7,16,16,14,17,16,7,0,0,0,0,0,0
6,18,19,18,19,18,18,18,0,0,0,0,0,0
8,15,9,9,9,2,2,11,1,1,1,1,1,1
2,4,4,4,4,4,4,4,0,0,0,0,0,0
14,16,7,16,17,7,17,16,1,0,0,1,0,0
6,14,4,14,14,14,14,4,1,0,0,0,0,1
9,10,9,5,9,5,9,10,1,1,1,1,1,0
9,15,7,7,7,7,7,7,1,1,1,1,1,1
4,7,12,12,12,4,12,12,0,0,0,1,0,0
10,19,6,10,19,7,10,6,1,1,0,1,1,1
7,3,3,11,10,4,10,10,0,0,0,0,0,0
17,14,16,14,16,14,14,14,0,0,0,0,0,0
13,12,15,13,12,8,12,12,0,0,0,1,0,0
7,6,1,6,6,1,6,6,1,0,0,1,0,0
12,16,14,14,14,5,18,16,1,1,1,1,0,0
13,16,8,16,15,15,16,8,1,0,1,1,0,1
4,5,10,10,10,4,10,10,0,0,0,1,0,0
2,0,0,0,0,1,0,18,0,0,0,0,0,0
6,4,2,6,2,3,6,19,1,0,1,1,0,0
1,6,7,7,7,7,7,7,0,0,0,0,0,0
13,18,9,9,18,9,18,9,1,1,0,1,0,1
8,9,0,9,5,9,5,5,1,0,1,0,1,1
6,17,17,17,2,12,2,12,0,0,1,1,1,1
4,8,8,2,8,8,8,8,0,1,0,0,0,0
2,6,6,6,6,6,6,6,0,0,0,0,0,0
3,12,12,12,12,3,1,12,0,0,0,1,1,0
12,3,5,5,16,5,16,16,0,0,0,0,0,0
7,3,13,3,7,18,7,3,0,0,0,0,0,0
16,10,18,14,14,10,18,10,0,0,0,0,0,0
7,19,7,7,7,3,7,7,1,1,1,1,1,1
15,14,14,14,14,19,14,19,0,0,0,0,0,0
7,10,10,2,8,11,2,15,0,1,1,0,1,0
15,18,19,19,19,19,19,19,0,0,0,0,0,0
4,11,11,11,11,11,11,11,0,0,0,0,0,0
12,15,12,15,3,19,12,11,1,0,1,0,1,1
5,16,16,16,16,16,16,16,0,0,0,0,0,0
5,15,5,10,5,2,5,2,1,1,1,1,1,1
9,13,9,9,9,16,9,6,1,1,1,0,1,1
13,5,10,15,17,17,10,15,0,0,0,0,0,0
16,6,8,8,6,6,9,6,0,0,0,0,0,0
13,11,5,11,6,5,6,6,1,0,1,1,1,1
6,7,13,13,13,9,13,5,0,0,0,0,0,1
18,16,7,7,7,7,7,7,1,1,1,1,1,1
8,3,11,6,8,7,11,8,0,0,0,0,0,0
6,5,2,1,2,17,1,2,1,1,1,0,1,1
0,15,15,15,15,15,15,15,0,0,0,0,0,0
12,17,17,17,17,6,6,6,0,0,0,1,1,1
18,15,13,13,13,13,13,13,1,1,1,1,1,1
1,19,19,19,19,0,19,19,0,0,0,1,0,0
11,15,16,16,16,6,16,6,0,0,0,1,0,1
8,12,14,13,13,13,12,12,0,0,0,0,0,0
19,19,15,15,15,14,14,15,1,1,1,1,1,1
1,8,8,8,8,0,8,8,0,0,0,1,0,0
8,3,8,8,4,5,8,4,0,0,0,0,0,0
13,16,5,18,18,7,18,8,1,0,0,1,0,1
15,10,7,5,11,5,4,5,1,1,0,1,1,1
1,3,10,10,10,10,10,3,0,0,0,0,0,0
11,15,7,7,7,9,15,7,1,1,1,1,0,1
13,9,9,16,16,9,9,9,0,0,0,0,0,0
18,12,7,7,7,7,7,7,1,1,1,1,1,1
14,2,17,2,2,2,16,17,0,0,0,0,0,0
19,19,12,17,12,12,17,12,1,1,1,1,1,1
11,10,10,10,18,10,10,10,0,0,0,0,0,0
5,2,2,2,16,2,2,2,0,0,0,0,0,0
14,13,1,16,3,9,13,16,1,0,1,1,0,0
7,13,19,13,19,7,13,13,0,0,0,1,0,0
6,5,5,5,5,5,5,8,0,0,0,0,0,0
6,16,4,16,16,14,6,10,1,0,0,1,1,1
11,13,13,11,9,3,8,6,0,1,1,1,1,1
7,10,10,10,10,10,10,13,0,0,0,0,0,0
3,6,16,6,6,16,6,6,0,0,0,0,0,0
5,1,5,1,5,11,5,1,0,0,0,0,0,0
14,19,12,12,12,12,12,12,1,1,1,1,1,1
11,7,19,19,19,8,19,19,0,0,0,0,0,0
13,14,12,12,18,12,12,12,1,1,0,1,1,1
8,15,7,15,7,7,12,6,1,0,1,1,1,1
6,5,11,5,4,10,11,6,0,0,1,0,0,0
6,10,4,2,0,10,4,9,1,1,1,0,1,1
10,12,9,9,9,8,8,8,1,1,1,1,1,1
17,4,4,9,4,9,4,4,0,0,0,0,0,0
17,10,16,16,16,16,16,16,0,0,0,0,0,0
16,5,19,5,19,19,19,19,0,0,0,0,0,0
14,10,11,11,11,11,11,11,0,0,0,0,0,0
10,7,7,7,7,7,7,7,0,0,0,0,0,0
18,14,12,12,12,12,12,12,1,1,1,1,1,1
15,17,17,16,16,11,11,16,0,1,1,1,1,1
9,11,11,18,18,8,18,11,0,0,0,1,0,0
7,5,5,7,5,2,5,5,0,0,0,1,0,0
11,17,2,2,2,9,9,2,1,1,1,1,1,1
2,8,6,6,6,6,6,6,1,1,1,1,1,1
3,2,2,2,2,2,2,2,0,0,0,0,0,0
7,14,7,2,4,1,7,10,1,1,1,1,1,1
11,16,15,16,15,2,15,13,1,0,1,1,1,1
19,19,10,10,10,10,10,10,1,1,1,1,1,1
3,2,8,8,2,0,8,8,0,0,0,1,0,0
6,4,4,0,6,11,0,4,0,1,0,0,1,0
8,11,8,4,4,6,4,6,1,1,1,1,1,1
6,11,9,13,13,5,11,9,1,0,0,1,0,1
15,8,17,17,17,17,17,17,0,0,0,0,0,0
14,10,7,10,9,10,9,7,1,0,1,0,1,1
16,12,18,18,18,16,18,18,0,0,0,0,0,0
19,19,17,18,18,18,17,18,1,1,1,1,1,1
8,10,9,13,13,10,10,10,1,0,0,0,0,0
12,19,4,4,4,4,4,4,1,1,1,1,1,1
19,19,11,11,11,11,11,11,1,1,1,1,1,1
7,14,15,15,7,0,0,7,0,0,1,1,1,1
17,11,15,15,15,15,15,15,0,0,0,0,0,0
13,15,10,10,10,10,10,10,1,1,1,1,1,1
6,7,2,15,2,15,2,6,1,0,1,0,1,1
15,14,16,16,16,15,16,16,0,0,0,0,0,0
16,17,14,14,14,12,14,14,1,1,1,1,1,1
10,14,8,11,8,14,8,8,1,1,1,0,1,1
10,11,11,11,10,11,7,10,0,0,1,0,1,1
3,2,4,4,4,4,4,4,0,0,0,0,0,0
