crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
10,11,11,11,5,5,11,11,0,0,1,1,0,0
16,11,18,11,18,18,18,11,0,0,0,0,0,0
7,11,2,11,2,12,12,12,1,0,1,0,0,0
19,19,10,13,9,13,14,10,1,1,1,1,1,1
12,18,18,18,18,18,18,18,0,0,0,0,0,0
13,4,13,13,12,13,5,5,0,0,0,0,0,0
16,8,19,19,19,19,19,19,0,0,0,0,0,0
3,0,4,4,4,4,4,4,0,0,0,0,0,0
12,5,17,5,11,17,17,5,0,0,0,0,0,0
10,14,14,14,14,3,14,14,0,0,0,1,0,0
18,15,14,14,14,14,14,14,1,1,1,1,1,1
5,8,8,3,16,16,16,16,0,1,0,0,0,0
9,17,17,17,17,17,17,17,0,0,0,0,0,0
12,9,16,7,16,9,7,9,0,1,0,0,1,0
16,19,13,13,13,13,13,8,1,1,1,1,1,1
10,12,12,12,18,12,12,12,0,0,0,0,0,0
15,19,17,17,18,19,19,17,1,1,1,0,0,1
5,3,11,11,11,1,11,11,0,0,0,1,0,0
9,18,9,9,10,9,9,6,1,1,1,1,1,1
16,11,7,7,7,7,7,7,1,1,1,1,1,1
13,14,14,14,14,14,10,14,0,0,0,0,1,0
10,6,6,6,10,6,6,6,0,0,0,0,0,0
1,3,3,3,2,3,3,3,0,0,1,0,0,0
2,17,17,17,6,17,17,17,0,0,1,0,0,0
10,12,12,12,12,12,12,12,0,0,0,0,0,0
12,11,3,12,5,5,5,5,1,0,1,1,1,1
18,8,15,19,12,15,15,19,0,0,0,0,0,0
12,16,10,16,10,18,10,10,1,0,1,0,1,1
14,7,8,8,8,8,8,7,0,0,0,0,0,0
16,11,11,11,19,8,8,16,0,0,0,1,1,0
16,19,11,18,11,11,11,11,1,1,1,1,1,1
16,7,13,16,7,13,13,13,0,0,0,0,0,0
7,9,2,2,2,2,2,2,1,1,1,1,1,1
10,17,8,8,8,17,8,8,1,1,1,0,1,1
15,7,2,2,8,2,8,8,1,1,0,1,0,0
12,9,9,4,2,2,9,8,0,1,1,1,0,1
17,13,15,15,13,15,13,13,0,0,0,0,0,0
7,15,12,15,6,5,12,5,1,0,1,1,1,1
13,8,15,5,4,5,15,12,0,1,1,1,0,0
11,7,6,6,17,15,6,7,1,1,0,0,1,0
9,5,5,5,13,5,5,4,0,0,0,0,0,1
2,10,14,4,10,4,14,4,0,1,0,1,0,1
14,12,10,12,12,10,12,10,1,0,0,1,0,1
12,6,12,5,12,12,12,12,0,1,0,0,0,0
12,11,6,12,11,10,10,12,1,0,0,1,1,0
7,12,12,13,12,12,13,17,0,0,0,0,0,0
14,17,17,17,3,8,17,17,0,0,1,1,0,0
18,7,6,6,6,6,6,6,1,1,1,1,1,1
10,11,8,8,8,11,8,14,1,1,1,0,1,0
15,12,12,12,12,12,12,12,0,0,0,0,0,0
11,4,4,5,5,4,4,4,0,0,0,0,0,0
