crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
1,10,10,10,18,18,10,18,0,0,0,0,0,0
0,5,0,0,0,0,0,0,1,1,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1,1,1,1
1,2,15,15,3,3,3,3,0,0,0,0,0,0
0,1,0,1,0,0,0,0,1,0,1,1,1,1
0,8,0,0,0,0,0,0,1,1,1,1,1,1
0,15,0,0,0,0,0,0,1,1,1,1,1,1
0,5,5,5,0,0,5,0,0,0,1,1,0,1
0,6,0,0,0,0,0,0,1,1,1,1,1,1
3,10,19,10,1,1,1,19,0,0,1,1,1,0
3,0,0,11,4,11,5,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,1,0,1,1,1,1
0,2,0,0,0,0,0,0,1,1,1,1,1,1
0,2,0,2,0,0,0,0,1,0,1,1,1,1
0,6,0,0,0,0,0,0,1,1,1,1,1,1
0,1,0,1,0,0,0,0,1,0,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1,1,1,1
0,4,0,0,0,0,0,0,1,1,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1,1,1,1
0,5,0,5,0,0,0,0,1,0,1,1,1,1
1,12,17,0,0,17,0,0,0,1,1,0,1,1
0,2,0,0,0,0,0,0,1,1,1,1,1,1
0,4,0,0,0,0,0,0,1,1,1,1,1,1
0,2,0,0,0,0,0,0,1,1,1,1,1,1
0,3,0,0,0,0,0,0,1,1,1,1,1,1
0,3,0,0,0,0,0,0,1,1,1,1,1,1
0,5,0,0,0,0,0,0,1,1,1,1,1,1
0,1,0,1,0,0,0,0,1,0,1,1,1,1
0,8,0,0,0,0,0,0,1,1,1,1,1,1
0,2,0,0,0,0,0,0,1,1,1,1,1,1
0,11,0,0,0,0,0,0,1,1,1,1,1,1
0,3,0,0,0,0,0,0,1,1,1,1,1,1
0,8,0,0,0,0,0,0,1,1,1,1,1,1
5,14,0,9,18,14,14,15,1,1,0,0,0,0
0,2,0,0,0,0,0,0,1,1,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1,1,1,1
0,2,0,0,0,0,0,0,1,1,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1,1,1,1
0,2,0,0,0,0,2,0,1,1,1,1,0,1
0,2,2,2,0,0,2,0,0,0,1,1,0,1
0,8,0,0,0,0,0,0,1,1,1,1,1,1
0,3,0,0,0,0,0,0,1,1,1,1,1,1
0,6,0,6,0,0,0,0,1,0,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1,1,1,1
0,4,0,0,0,0,0,0,1,1,1,1,1,1
0,2,0,0,0,0,0,0,1,1,1,1,1,1
1,6,0,0,0,0,0,0,1,1,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1,1,1,1
0,15,0,0,0,0,0,0,1,1,1,1,1,1
0,3,0,0,0,0,0,0,1,1,1,1,1,1
0,4,0,0,0,0,0,0,1,1,1,1,1,1
1,12,0,12,0,0,0,0,1,0,1,1,1,1
0,2,0,0,0,0,0,0,1,1,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1,1,1,1
