crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
10,6,6,12,15,9,2,9,0,0,0,0,1,0
12,9,9,15,15,16,15,15,0,0,0,0,0,0
1,2,1,1,1,0,1,1,1,1,1,1,1,1
5,9,16,8,15,17,10,10,0,1,0,0,0,0
4,0,11,15,11,15,15,0,0,0,0,0,0,0
1,12,1,12,12,1,1,1,1,0,0,1,1,1
9,3,13,13,13,13,13,13,0,0,0,0,0,0
2,9,7,7,7,7,7,7,1,1,1,1,1,1
6,5,5,3,19,3,10,2,0,1,0,1,0,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1
1,12,1,12,12,0,1,1,1,0,0,1,1,1
5,15,1,1,2,1,1,1,1,1,1,1,1,1
17,19,18,18,18,18,18,18,1,1,1,1,1,1
7,4,1,1,19,1,1,1,1,1,0,1,1,1
2,6,3,3,3,3,3,3,1,1,1,1,1,1
6,9,10,10,8,1,13,13,0,0,1,1,0,0
2,15,3,3,3,3,3,3,1,1,1,1,1,1
6,11,10,11,13,10,13,13,1,0,0,1,0,0
8,13,15,15,4,15,4,15,0,0,1,0,1,0
4,9,3,3,3,3,9,3,1,1,1,1,0,1
3,2,1,7,7,1,7,7,1,0,0,1,0,0
8,3,18,18,18,6,17,11,0,0,0,0,0,0
3,4,4,4,4,4,4,4,0,0,0,0,0,0
6,10,13,13,10,10,5,10,0,0,0,0,1,0
6,4,4,12,12,4,10,4,0,0,0,0,0,0
12,15,16,16,5,16,16,5,0,0,1,0,0,1
4,7,4,3,1,3,6,6,1,1,1,1,1,1
1,17,1,1,1,1,1,1,1,1,1,1,1,1
1,15,15,15,15,15,1,1,0,0,0,0,1,1
0,1,0,1,1,3,1,1,1,0,0,0,0,0
2,9,1,1,1,1,1,1,1,1,1,1,1,1
15,14,12,4,14,14,14,12,1,1,0,0,0,1
4,13,6,13,6,13,2,13,1,0,1,0,1,0
10,14,11,11,15,11,11,9,1,1,0,1,1,1
1,3,1,1,1,3,1,1,1,1,1,0,1,1
19,19,16,17,7,15,15,13,1,1,1,1,1,1
